Hotel_Address,Additional_Number_of_Scoring,Review_Date,Average_Score,Hotel_Name,Reviewer_Nationality,Negative_Review,Review_Total_Negative_Word_Counts,Total_Number_of_Reviews,Positive_Review,Review_Total_Positive_Word_Counts,Total_Number_of_Reviews_Reviewer_Has_Given,Tags,days_since_review,lat,lng,Reviewer_Score
17 18 Upper Woburn Place Camden London WC1H 0HT United Kingdom,198,1/11/2016,7.4,Hilton London Euston, United Kingdom , The deputy manager Jeffery Hosegood was terrible and unnecessarily very catty an attitude to put me off going to the hotel ever again ,25,843, The hotel it s self was a very good standard,11,2,"[' Leisure trip ', ' Couple ', ' Double Guest Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",570 day,51.5265189,-0.1303689,Intermediate_Reviewer_Score
12 rue Saint Didier 16th arr 75016 Paris France,73,6/8/2017,8.5,Garden Elys e, Australia , WiFi was a bit complex and slow With so many good providers around perhaps the hotel might review the quality of this service I appreciate your reasons for the survey but I trave globally and just cannot spend time on lengthy surveys on every hotel I stay in Maybe you could stick to essentials,55,378, We were very pleased with the stay and we have been here many times ,16,5,"[' Business trip ', ' Couple ', ' Classic Room ', ' Stayed 2 nights ']",56 days,48.8663444,2.2881979,High_Reviewer_Score
Leeuwendalersweg 21 Bos en Lommer 1055 JE Amsterdam Netherlands,587,11/13/2016,7.4,Best Western Blue Tower Hotel, United Kingdom , High deposits for extras,5,3869, 11th floor views,4,1,"[' Leisure trip ', ' Group ', ' Standard Double or Twin Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",263 day,52.3793659,4.8457179,Intermediate_Reviewer_Score
Dam 9 Amsterdam City Center 1012 JS Amsterdam Netherlands,765,5/9/2016,8.4,NH Collection Amsterdam Grand Hotel Krasnapolsky, India , room toilet was dirty and they recomend only one restaurant to everyone which is a tourist trap,18,4686, location,2,10,"[' Leisure trip ', ' Family with older children ', ' Superior Double or Twin Room ', ' Stayed 2 nights ']",451 day,52.3727067,4.8943658,Intermediate_Reviewer_Score
Galleria Del Corso 3 Milan City Center 20122 Milan Italy,141,6/11/2017,7.8,IH Hotels Milano Ambasciatori, Hungary , The only minor is that the small flat tv stays on the desk so you can see only on the right side of the bed not centrally But who is watching the tv in Milan ,37,2387, A really good 4 star hotel behind the Cathedral in the Galleria del Corso Friendly receptionists superior room on the 5th floor quiet adequate size comfortable bed kettle The bathroom was smaller Good breakfast with different juices scrambles eggs salami croissant etc The receptionist a young woman recommended us a good restaurant nearby ,55,14,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 4 nights ']",53 days,45.4644348,9.1952727,Intermediate_Reviewer_Score
284 To 302 Waterloo Road Southwark London SE1 8RQ United Kingdom,312,10/2/2016,8.5,H10 London Waterloo, United Kingdom ,No Negative,0,1114, Stylish hotel great view from floor to ceiling window in 10th floor bedroom ,15,1,"[' Business trip ', ' Solo traveler ', ' Double Room 1 Adult ', ' Stayed 1 night ', ' Submitted from a mobile device ']",305 day,51.4988817,-0.1062888,High_Reviewer_Score
39 Coventry Street Westminster Borough London W1D 6BZ United Kingdom,326,4/14/2017,8.8,every hotel Piccadilly, Turkey , Worst front desk ever Management need to teach front desk employees how to behave ,16,1685, Perfect location,3,11,"[' Leisure trip ', ' Family with young children ', ' Standard Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",111 day,51.5101462,-0.1315061,Intermediate_Reviewer_Score
10 Palace Place Westminster Borough London SW1E 5BW United Kingdom,303,10/11/2016,9.3,The Nadler Victoria, United States of America , Nothing,2,1608, Staff was superb friendly and helpful ,8,10,"[' Leisure trip ', ' Couple ', ' King Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",296 day,51.4990259,-0.1427453,High_Reviewer_Score
56 57 Frith Street Westminster Borough London W1D 3JG United Kingdom,125,1/23/2017,8.3,Mimi s Hotel Soho, United Kingdom ,No Negative,0,687, Bed was comfortable and friendly staff but room was noisy we had to move rooms no room service available either not even for a cup of tea Expensive for what you get for your money,36,1,"[' Leisure trip ', ' Couple ', ' Suite ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",192 day,51.5140329,-0.1320651,Intermediate_Reviewer_Score
Via Senigallia 6 20161 Milan Italy,904,9/25/2016,8.1,Hotel Da Vinci, Canada , The food prices at the bar are a bit outrageous but then it s a 4 hotel so that s kinda expected There s not much to do around the place at night other than walk around again the neighbourhood is quite safe A pool is really the only thing this place is missing ,56,16670, We had some reservations about the location but it was perfectly fine a 15 minute stroll to the subway which takes you to the city centre in about 20 25 minutes for 1 60 2016 price through a very safe neighbourhood despite the way it looks Also very close to the highway so it s great if you want to get out of the city to visit Lake Como or Maggiore both reachable within an hour give or take depending on where you re going Just past the subway station there s a good pizza place and just down the side street from there on the right there s a Carrefour Express a mini supermarket for those who don t know where you can get anything and everything ,130,1,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 3 nights ']",312 day,45.5331372,9.1711019,High_Reviewer_Score
10 Godliman Street City of London London EC4V 5AJ United Kingdom,788,9/1/2016,8.5,Grange St Paul s Hotel, Romania , Small rooms,3,2635, Very good location nice staff,6,1,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",336 day,51.5127625,-0.0997157,Intermediate_Reviewer_Score
163 Marsh Wall Docklands Tower Hamlets London E14 9SJ United Kingdom,2682,3/27/2017,7.1,Britannia International Hotel Canary Wharf, United Kingdom ,No Negative,0,9086, The balcony n views,5,1,"[' Couple ', ' Standard Double Room without Window ', ' Stayed 1 night ', ' Submitted from a mobile device ']",129 day,51.5019097,-0.0232208,High_Reviewer_Score
5 Curzon St Westminster Borough London W1J 5HL United Kingdom,431,9/24/2016,7.9,Washington Mayfair Hotel, United Kingdom , Dim light in bedroom for getting ready,8,1532, Location,2,1,"[' Leisure trip ', ' Group ', ' Classic Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",313 day,51.5060237,-0.151078,Intermediate_Reviewer_Score
Piazza Lima 2 Central Station 20124 Milan Italy,298,5/22/2016,8.5,Best Western Plus Hotel Galles, Sri Lanka ,No Negative,0,3550, Excellent property and would recommend to anyone traveling to Milan,11,1,"[' Leisure trip ', ' Family with young children ', ' Standard Triple Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",438 day,45.4805847,9.2117326,High_Reviewer_Score
Consell de Cent 498 500 Eixample 08013 Barcelona Spain,105,1/3/2016,8.3,Eurostars Monumental, United Kingdom ,No Negative,0,1382, location is good,4,1,"[' Leisure trip ', ' Couple ', ' Double or Twin Room 1 2 Adults ', ' Stayed 3 nights ']",578 day,41.4006653,2.1787089,High_Reviewer_Score
14 Rue Beaujon 8th arr 75008 Paris France,143,12/9/2016,8.8,Sofitel Paris Arc De Triomphe, Myanmar , nothing,2,825, It should be breakfast included,6,1,"[' Business trip ', ' Group ', ' Superior Queen Room ', ' Stayed 2 nights ']",237 day,48.8751845,2.3013214,High_Reviewer_Score
Albany Street London NW1 3UP United Kingdom,354,2/9/2016,8.3,Melia White House Hotel, United Kingdom ,No Negative,0,1871, Lovely hotel great value for money in a great location fantastic staff would definitely go again,17,1,"[' Leisure trip ', ' Couple ', ' Classic Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",541 day,51.5298597,-0.1444623,High_Reviewer_Score
Coram Street Camden London WC1N 1HT United Kingdom,709,3/14/2017,8.2,Holiday Inn London Bloomsbury, India ,No Negative,0,2995, All Good,3,1,"[' Business trip ', ' Solo traveler ', ' Standard Double or Twin Room ', ' Stayed 10 nights ']",142 day,51.5241248,-0.1258066,High_Reviewer_Score
Wagramer Stra e 16 18 22 Donaustadt 1220 Vienna Austria,198,8/28/2016,8.6,Park Inn by Radisson Uno City Vienna, India , The routine buffey forbreakfast ,6,2341,No Positive,0,1,"[' Solo traveler ', ' Standard Double or Twin Room ', ' Stayed 6 nights ', ' Submitted from a mobile device ']",340 day,48.2340799,16.4210093,Intermediate_Reviewer_Score
Westminster Bridge Road Lambeth London SE1 7UT United Kingdom,2623,5/2/2016,8.7,Park Plaza Westminster Bridge London, United Kingdom , Breakfast was what I would expect from a slightly higher class of hotel with cheaper well known hotel chains serving far better Some things broken or not working as they should in bedroom and bathroom Television seems a little outdated with outdated abilities ,45,12158, Staff helpful and happy Good location No real problems when visiting ,13,2,"[' Leisure trip ', ' Couple ', ' Superior Double Room with Internal View ', ' Stayed 3 nights ']",458 day,51.5009609,-0.1165913,Intermediate_Reviewer_Score
380 Kensington High Street Kensington and Chelsea London W14 8NL United Kingdom,438,12/13/2016,7.4,Hilton London Olympia, United Kingdom , Corridors from lifts to rooms looked tired old but room was modern clean 15 minute walk from Earls Court tube station 15 20 min tube ride into the centre of London,32,1786, Nice bar with friendly staff decent menu,8,9,"[' Leisure trip ', ' Group ', ' Double Guest Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",233 day,51.4967399,-0.2064723,Intermediate_Reviewer_Score
10 West Temple Sheen London SW14 7RT United Kingdom,70,6/1/2016,8.3,The Victoria, United Kingdom , very surly waitress in the evening apart form that all good,12,272, good value for money very clean room Food was excellent in the bar and good locaiton,17,1,"[' Leisure trip ', ' Family with young children ', ' Double Room ', ' Stayed 1 night ']",428 day,51.4611219,-0.2756216,High_Reviewer_Score
88 Holland Road Kensington and Chelsea London W14 8BN United Kingdom,197,3/5/2017,8.4,88 Studios, United Kingdom , Staff could be a little more explanatory about breakfast room service if it s available But they were happy to give us privacy ,25,955, The room was reviewed as small by others by I thought it was the perfect size for a weekend break away or a business trip The shower was amazing and the decor was tasteful and modern Beautifully comfy bed and sound proofed room just added bonus Wish we could have stayed longer ,54,1,"[' Leisure trip ', ' Couple ', ' Double Studio ', ' Stayed 1 night ', ' Submitted from a mobile device ']",151 day,51.4992789,-0.2090733,High_Reviewer_Score
Lowndes Street Kensington and Chelsea London SW1X 9ES United Kingdom,205,9/1/2015,8.6,Jumeirah Lowndes Hotel, United Arab Emirates ,No Negative,0,587, Excellent staff helpful kind respectful Very nice spa facilities especially the pool ,14,6,"[' Leisure trip ', ' Family with older children ', ' Superior Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",702 day,51.4993652,-0.1576613,High_Reviewer_Score
Mandeville Place Westminster Borough London W1U 2BE United Kingdom,495,5/29/2016,8.5,The Mandeville Hotel, India , cannot fault this hotel,5,2300, Excellent location cannot get better if you are looking for shopping on Oxford street All great restaurants are just a stone throw away and even more closer A nice family hotel with good facilities,35,1,"[' Leisure trip ', ' Solo traveler ', ' Superior Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",431 day,51.5165165,-0.1509735,Intermediate_Reviewer_Score
140 Gloucester Road Kensington and Chelsea London SW7 4QH United Kingdom,528,5/7/2016,8.7,The Bailey s Hotel London, United Kingdom ,No Negative,0,2485, Excellent hotel recently refurbished Very quiet and extremely comfortable The staff were exceptionally helpful and friendly The only small down part was the hotel bar could use with updating a little and offering a more premium selection of drinks ,41,9,"[' Leisure trip ', ' Group ', ' Double or Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",453 day,51.4938733,-0.1824963,High_Reviewer_Score
43 51 Wembley Hill Road Brent London HA9 8AU United Kingdom,540,11/8/2015,8.9,St George s Hotel Wembley, United Kingdom ,No Negative,0,2274, Great location for sse arena comfortable room and excellent room facilities,12,1,"[' Leisure trip ', ' Group ', ' Deluxe Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",634 day,51.5553678,-0.2864945,High_Reviewer_Score
21 Piccadilly Westminster Borough London W1J 0BH United Kingdom,146,10/17/2016,7.6,Le Meridien Piccadilly, United Kingdom , PLUG DID NOT WORK IN THE BATH NO DID THE EXTRACTOR FAN LIGHT BUBS NEEDING REPLACING,17,817, GEORGE THE CONCIERGE MADE THE TRIP,7,14,"[' Leisure trip ', ' Couple ', ' Classic Double or Twin Room ', ' Stayed 2 nights ']",290 day,51.5094835,-0.1362538,Intermediate_Reviewer_Score
Ijburglaan 539 Zeeburg 1087 BE Amsterdam Netherlands,253,4/17/2016,8.4,Amadi Panorama Hotel, United Kingdom , Prior to arrival the whole booking amount several hundred pounds was pre authorised onto my debit card when we were meant to be paying as a group individually upon arrival Lots of issues getting it released including a large international phone bill that I am having to pay and a lot of anxiety trying to get this resolved prior to the trip I rated the hotel low for value for money due to the excessive phone charges I incurred as a result of this pre authorisation issue The hotel tried to help when the issue arose but the damage had already been done by their initial actions I would urge them to reconsider their pre authorisation practices only pre authorising a standard deposit or only charging card details if a guest does not turn up as intended ,139,2586, The staff are very friendly and the hotel is welcoming Clean and comfortable with lots of little nice touches On the whole a nice hotel apart from a pre authorisation issue ,33,3,"[' Leisure trip ', ' Travelers with friends ', ' Deluxe Triple Room with View ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",473 day,52.3588806,4.9886041,Intermediate_Reviewer_Score
Elisabets 11 Ciutat Vella 08001 Barcelona Spain,116,10/21/2015,9.6,Hotel Casa Camper, United Kingdom , Nothing Will return,4,732, Its right in the middle of barcelona Breakfasts are great Anything you want,14,3,"[' Leisure trip ', ' Couple ', ' Camper Suite ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",652 day,41.3832414,2.1685298,High_Reviewer_Score
Portland Place Westminster Borough London W1B 1JA United Kingdom,375,2/11/2016,9.3,The Langham London, United States of America ,No Negative,0,1276, We are frequent visitors the The Langham Exceptional in every way W London prices to match Club Lounge redone is terrific Fitness center terrific Warm staff at the Club floor ,32,14,"[' Business trip ', ' Couple ', ' Executive Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",539 day,51.517876,-0.1440647,High_Reviewer_Score
30 Leinster Gardens Bayswater Westminster Borough London W2 3AN United Kingdom,1198,7/15/2016,8.5,Blakemore Hyde Park, United Kingdom , All good ,4,6596, The whole look and feel of the hotel from the outside to walking in to a welcoming reception area and modern comfortable room Good quiet area of London ,30,4,"[' Leisure trip ', ' Group ', ' Club Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",384 day,51.5129736,-0.1837431,High_Reviewer_Score
Marina 19 21 08005 Barcelona Spain,219,8/25/2015,8.8,Hotel Arts Barcelona, United Arab Emirates , noting,2,1350, very good hotel,4,14,"[' Leisure trip ', ' Family with young children ', ' Deluxe Double or Twin Room ', ' Stayed 5 nights ']",709 day,41.3865424,2.1969665,Intermediate_Reviewer_Score
1a Lexham Gardens Kensington and Chelsea London W8 5JJ United Kingdom,222,12/15/2015,7.5,Mercure London Kensington Hotel, United Kingdom ,No Negative,0,1016, Breakfast selection excellent ,5,6,"[' Leisure trip ', ' Couple ', ' Standard King Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",597 day,51.4950098,-0.1906195,High_Reviewer_Score
Las Ramblas 117 Ciutat Vella 08002 Barcelona Spain,415,9/17/2016,8.4,Royal Ramblas, Australia ,No Negative,0,3340, Location,2,3,"[' Leisure trip ', ' Solo traveler ', ' Single Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",320 day,41.3842838,2.1707092,High_Reviewer_Score
Wrights Lane Kensington and Chelsea London W8 5SP United Kingdom,1172,3/15/2016,7.8,Holiday Inn London Kensington, United Kingdom , Not enough toasters Two toaster between everybody And no white bread ,13,5945,No Positive,0,1,"[' Leisure trip ', ' Couple ', ' Executive Club Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",506 day,51.499981,-0.1928791,High_Reviewer_Score
39 Coventry Street Westminster Borough London W1D 6BZ United Kingdom,326,3/27/2017,8.8,every hotel Piccadilly, Iceland ,No Negative,0,1685, Great location nice room and friendly staff ,9,2,"[' Leisure trip ', ' Family with young children ', ' Standard Double Room ', ' Stayed 2 nights ']",129 day,51.5101462,-0.1315061,High_Reviewer_Score
Piazza Gerusalemme 6 Sempione 20154 Milan Italy,323,4/23/2017,8,Hotel Mozart, Israel , There are 3 or 4 steps to the entrance A ramp would be very nice when you come or go with a heavy bag ,26,4015, A very nice and quiet place close to a wonderful Sempione park 30 minutes walk most of it thru the park to Castello Sforzesco and 10 minutes more to the city center Duomo La Scala etc A great breakfest nice clean rooms very helpful personnel free Wi fi and high speed Internet access in the entire hotel An excellent gelateria Il massimo del gelato and a very good osteria within 100 m from the door Reasonable prices in both places and also in the hotel itself Highly recommended ,90,3,"[' Leisure trip ', ' Group ', ' 2 rooms ', ' Stayed 5 nights ', ' Submitted from a mobile device ']",102 day,45.4834133,9.1666361,High_Reviewer_Score
92 Southampton Row Camden London WC1B 4BH United Kingdom,429,1/5/2016,8.3,DoubleTree by Hilton London West End, United Kingdom , Not enough beds for a family of five Which I specified,12,1774, Comfortable enough,3,3,"[' Leisure trip ', ' Family with older children ', ' Two Bedroom Apartment ', ' Stayed 1 night ', ' Submitted from a mobile device ']",576 day,51.5201065,-0.1221393,Intermediate_Reviewer_Score
Annagasse 16 01 Innere Stadt 1010 Vienna Austria,135,5/26/2016,8.9,Schlosshotel R mischer Kaiser, Israel , Lack of meals ,5,1350, Breakfast let s say 90 out of 100 bed good everything is very clean,15,2,"[' Leisure trip ', ' Solo traveler ', ' Classic Double or Twin Room ', ' Stayed 9 nights ']",434 day,48.2040859,16.3725046,High_Reviewer_Score
2 Rue d Artois 8th arr 75008 Paris France,118,9/8/2015,8.4,H tel des Champs Elys es, Belgium , nothing,2,755, location,2,20,"[' Leisure trip ', ' Family with older children ', ' Classic Double Room ', ' Stayed 1 night ']",695 day,48.8722884,2.3090359,High_Reviewer_Score
30 John Islip St Westminster Borough London SW1P 4DD United Kingdom,807,4/23/2017,8.5,DoubleTree by Hilton London Westminster, United Kingdom , Bed was too hard,5,3269,No Positive,0,6,"[' Leisure trip ', ' Couple ', ' Queen Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",102 day,51.4932356,-0.1269082,Intermediate_Reviewer_Score
Wrights Lane Kensington and Chelsea London W8 5SP United Kingdom,1172,3/10/2016,7.8,Holiday Inn London Kensington, Ireland , Room very small for a double,7,5945, Bed very comfortable,4,1,"[' Business trip ', ' Solo traveler ', ' Standard Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",511 day,51.499981,-0.1928791,Intermediate_Reviewer_Score
Plaza Paisos Catalans s n Sants Montju c 08014 Barcelona Spain,420,4/16/2016,8.6,Barcel Sants, United Kingdom ,No Negative,0,4379, The hotel was very convenient for onward train travel from Barcelona Sants station and the space theme was quirky The room was comfortable and very spacious and we would consider this hotel again if travelling in the Barcelona area of Spain,42,28,"[' Leisure trip ', ' Couple ', ' Deluxe Double or Twin Room ', ' Stayed 1 night ']",474 day,41.3798964,2.1412433,Low_Reviewer_Score
40 avenue de Friedland 8th arr 75008 Paris France,183,9/26/2015,8.5,Napoleon Paris, United Kingdom , Toilet is too small,5,1144, Location is so great,5,8,"[' Leisure trip ', ' Couple ', ' Classic Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",677 day,48.8743885,2.2980915,High_Reviewer_Score
Eerste Constantijn huygensstraat 26G Oud West 1054 BR Amsterdam Netherlands,272,7/25/2017,8.1,Amadi Park Hotel, Malaysia , Tiny tiny room less like a hotel more like student accommodation Barely any room to spread my stuff out Single bed but it was comfortable enough Bathroom was the worst also tiny with only half the shower closed in by glass No exhaust fan either ,47,1615, Good location away from the madness of the city centre but close to public transport Nespresso machine in the room with coffee pods restocked daily Great wifi ,29,28,"[' Leisure trip ', ' Solo traveler ', ' Single Room ', ' Stayed 3 nights ']",9 days,52.364962,4.873495,Intermediate_Reviewer_Score
C rcega 368 Eixample 08037 Barcelona Spain,115,6/15/2017,8.4,Catalonia La Pedrera, Australia , Not much,3,1135, Position service friendly reception staff spoke English very well good value for money ,15,2,"[' Leisure trip ', ' Couple ', ' Double or Twin Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",49 days,41.3986093,2.1625037,High_Reviewer_Score
Fulham Road Stamford Bridge Hammersmith and Fulham London SW6 1HS United Kingdom,525,11/8/2016,8.2,Millennium Copthorne Hotels at Chelsea Football Club, Ireland , the bed and very small and not very comfortable and there was a smell of sewerage on the 5th floor,21,1842, customer service was excellent and the staff in frankies bar couldn t have been more friendly,17,1,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",268 day,51.481663,-0.1909565,Intermediate_Reviewer_Score
3 Rue Pergolese 16th arr 75116 Paris France,126,11/26/2015,8.2,L Hotel Pergol se Paris, Ireland , The room had everything except a proper shower ,10,1281, The staff were extremely polite and helpful The location is very close to the Metro and the shuttle bus to Beauvais Airport ,24,6,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 4 nights ']",616 day,48.8756618,2.2863468,High_Reviewer_Score
Amstelstraat 17 Amsterdam City Center 1017 DA Amsterdam Netherlands,520,3/13/2017,7.8,Hampshire Hotel Rembrandt Square Amsterdam, Greece , The water in the shower was too slow Not enough pressure ,13,2591, The location is great,5,28,"[' Business trip ', ' Solo traveler ', ' Standard Double or Twin Room ', ' Stayed 2 nights ']",143 day,52.3663466,4.8985764,Intermediate_Reviewer_Score
23 Leinster Gardens Westminster Borough London W2 3AN United Kingdom,471,11/20/2016,7,Henry VIII, United Kingdom , uhm the carpet on the floor but this is London right ,13,2937, I liked the use of complimentary pool and sauna we got to relax quite well The breakfast as well was very varied and well prepared ,27,2,"[' Leisure trip ', ' Couple ', ' Basic Double Room ', ' Stayed 1 night ']",256 day,51.5124655,-0.182274,Intermediate_Reviewer_Score
Vijzelstraat 4 Amsterdam City Center 1017 HK Amsterdam Netherlands,589,2/27/2017,7,NH Carlton Amsterdam, Ireland , The d cor is very dated it could be doing with an update ,15,4231, Location was great,4,7,"[' Leisure trip ', ' Couple ', ' Standard Double or Twin Room ', ' Stayed 2 nights ']",157 day,52.3663727,4.8930505,Intermediate_Reviewer_Score
26 28 Trebovir Rd Kensington and Chelsea London SW5 9NJ United Kingdom,328,2/14/2016,7.5,Mayflower Hotel Apartments, United Kingdom , Bed was moving out of its place you can woke up in the middle of room ,18,2197, Comfy studio type apartment Nice and clean room fully equipped kitchen ,13,3,"[' Leisure trip ', ' Couple ', ' Standard Apartment ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",536 day,51.4916677,-0.1947475,Intermediate_Reviewer_Score
Via Fabio Filzi 25 B Central Station 20124 Milan Italy,224,9/16/2016,8.6,UNA Hotel Century, Spain , nothing,2,2351, Very quite and relaxing staff very friendly and breakfast excellent,11,19,"[' Leisure trip ', ' Couple ', ' Junior Suite ', ' Stayed 7 nights ']",321 day,45.4841371,9.2001623,High_Reviewer_Score
24 Ludgate Hill City of London London EC4M 7DR United Kingdom,918,5/31/2016,8.4,Club Quarters Hotel St Paul s, United Kingdom , No teaspoons in the room but managed without ,10,4117, Lovely room great view of St Pauls Free frothy coffee a bonus ,14,2,"[' Leisure trip ', ' Couple ', ' Standard Queen Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",429 day,51.5139298,-0.101126,High_Reviewer_Score
23 25 rue de Pont Neuf 1st arr 75001 Paris France,38,5/7/2017,8.9,Maison Albar Hotel Paris C line, Slovakia , Small room for breakfast which causes troubles at peak times for breakfast long waiting time for breakfast service no chairs for guests in main breakfast room ,28,326, Very well equipped rooms and the whole hotel with latest modern technologies ,14,7,"[' Leisure trip ', ' Family with young children ', ' 2 rooms ', ' Stayed 4 nights ']",88 days,48.8606187,2.344401,High_Reviewer_Score
Empire Way Wembley Brent London HA9 8DS United Kingdom,1005,4/5/2017,8.3,Holiday Inn London Wembley, United Kingdom , No breakfast included stayed at Leeds same hotel breakfast was included,12,3469, Comfortable beds Iron and ironing board luxury of 2 pillows,11,7,"[' Leisure trip ', ' Family with young children ', ' Standard Double or Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",120 day,51.5590955,-0.284704,High_Reviewer_Score
Epping Forest 30 Oak Hill London IG8 9NY United Kingdom,193,10/26/2015,7.5,Best Western PLUS Epping Forest, United Kingdom , The staff were rude and one of the staff made a racist remark ,15,587,No Positive,0,1,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",647 day,51.603207,0.010607,Intermediate_Reviewer_Score
Molenwerf 1 1014 AG Amsterdam Netherlands,914,8/13/2016,8.5,Golden Tulip Amsterdam West, China , The location is not very convenient for traveler without car But anyway there is a tram 12 you can take in front of the hotel It may not be direct to your destination ,35,7586, The room is nice and big The coffee machine in room can make really good coffee Staff are friendly and helpful ,23,7,"[' Leisure trip ', ' Family with older children ', ' Standard Triple Room ', ' Stayed 3 nights ']",355 day,52.385601,4.8470597,High_Reviewer_Score
Molenwerf 1 1014 AG Amsterdam Netherlands,914,3/29/2016,8.5,Golden Tulip Amsterdam West, United Kingdom ,No Negative,0,7586, The staff where brilliant and very helpful with every thing,11,1,"[' Leisure trip ', ' Group ', ' Standard Double or Twin Room ', ' Stayed 2 nights ']",492 day,52.385601,4.8470597,High_Reviewer_Score
Viale Sarca 336 Bicocca Zara 20125 Milan Italy,563,2/18/2016,8.3,Hotel degli Arcimboldi, Poland ,No Negative,0,10842, The buffet dinner with very good quality price,9,16,"[' Business trip ', ' Solo traveler ', ' Double Room ', ' Stayed 2 nights ']",532 day,45.5257221,9.2150033,Intermediate_Reviewer_Score
8 Northumberland Avenue Westminster Borough London WC2N 5BY United Kingdom,602,10/18/2015,8.5,Club Quarters Hotel Trafalgar Square, United Kingdom ,No Negative,0,2494, Very friendly staff great facilities on each floor for chilled water extra pillows extra tea and coffee etc Room very quiet and incredibly comfortable bed luxurious bedlinen etc ,30,17,"[' Leisure trip ', ' Couple ', ' Standard Queen Room ', ' Stayed 1 night ']",655 day,51.506935,-0.126012,High_Reviewer_Score
1 Shortlands Hammersmith and Fulham London W6 8DR United Kingdom,704,12/26/2015,8.3,Novotel London West, United Kingdom , Faulty bathroom door that staff had no urgency to fix What seemed like v un organised staff working on checkin desks as queues were v long upon arrival and check out Asked for a bathmat sat AM never turned up and we checked out sun so another delay When I made the booking it was for a special occasion for my wife our her best friends 40th I asked for a bunch of flowers upon arrival or balloons etc to make it more memorable and i didnt mind paying for the extras upon arrival unfortunately this never happened If I would of been advised that this is something you would not do I could of arranged something myself and got there earlier to arrange ,126,2443, Value for money,4,1,"[' Leisure trip ', ' Group ', ' Superior Room with 2 Single Beds ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",586 day,51.4919588,-0.2200956,Intermediate_Reviewer_Score
Gran Via 559 Eixample 08012 Barcelona Spain,73,6/17/2016,8.6,H10 Casanova, Spain , Coffee facilities especially on roof in the dsy needed,10,641, Beds comfy staff friendly Breakfast good,7,1,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",412 day,41.3842608,2.1609471,High_Reviewer_Score
2 Wallenberg Place Westminster Borough London W1H 7TN United Kingdom,687,10/31/2016,8.9,The Montcalm Marble Arch, United Kingdom ,No Negative,0,2752, Good Welcome Helpful staff Excellent location Nice to receive an upgrade Quiet room wouldn t have known we were in the city Room technology,25,7,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",276 day,51.5150522,-0.159239,High_Reviewer_Score
Weihburggasse 3 01 Innere Stadt 1010 Vienna Austria,173,7/19/2017,9.2,Hotel Kaiserin Elisabeth, United States of America , Nothing,2,1772, Everything,2,1,"[' Leisure trip ', ' Solo traveler ', ' Single Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",15 days,48.2072348,16.372238,High_Reviewer_Score
